""	"prob_compLasso"	"prob_lasso"	"prob_elnet"	"prob_rf"
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Asaccharobacter"	0.19	0.12	0.53	0.11
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Atopobium"	0	0	0.23	0.1
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Collinsella"	0.22	0.12	0.78	0.05
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Eggerthella"	0.14	0.12	0.61	0.1
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Gordonibacter"	0	0	0.24	0.07
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Olsenella"	0.01	0	0.15	0.09
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Slackia"	0.02	0	0.32	0.05
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides"	0.35	0.1	0.7	0.06
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Barnesiella"	0.17	0.12	0.69	0.04
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Butyricimonas"	0.11	0.06	0.6	0.04
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Odoribacter"	0.15	0.03	0.72	0.05
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Parabacteroides"	0.26	0.08	0.63	0.03
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Porphyromonas"	0.03	0.03	0.17	0.07
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Paraprevotella"	0.09	0.05	0.52	0.03
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella"	0.2	0.1	0.56	0.02
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes"	0.57	0.3	0.87	0.16
"Bacteria.Bacteroidetes.Flavobacteria.Flavobacteriales.Flavobacteriaceae.Capnocytophaga"	0	0	0.15	0.02
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus"	0.01	0	0.29	0.05
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillales_incertae_sedis.Rummeliibacillus"	0	0	0.09	0.06
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Gemella"	0.08	0.08	0.39	0.16
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.Abiotrophia"	0.17	0.11	0.58	0.05
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.Granulicatella"	0.08	0.07	0.55	0.13
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Enterococcus"	0.03	0.04	0.36	0.07
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus"	0.08	0.02	0.61	0.11
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Leuconostocaceae.Weissella"	0	0	0.09	0.05
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Lactococcus"	0.03	0.03	0.42	0.04
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus"	0.07	0.09	0.58	0.07
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium"	0.81	0.52	0.96	0.24
"Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Anaerofustis"	0.02	0.02	0.37	0.05
"Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Eubacterium"	0.1	0.08	0.66	0.06
"Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XI.Anaerococcus"	0	0	0.14	0.09
"Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XI.Finegoldia"	0.09	0.09	0.46	0.04
"Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XI.Parvimonas"	0.01	0.01	0.27	0.05
"Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XI.Peptoniphilus"	0	0	0.08	0.07
"Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XIII.Anaerovorax"	0.39	0.2	0.76	0.05
"Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XIII.Mogibacterium"	0.08	0.06	0.51	0.11
"Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XIV.Blautia"	0.12	0.08	0.67	0.1
"Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XIV.Howardella"	0.01	0.01	0.34	0.07
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Anaerostipes"	0.04	0.06	0.26	0.14
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus"	0.19	0.14	0.71	0.08
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Dorea"	0.45	0.26	0.82	0.1
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Oribacterium"	0	0	0.12	0.09
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Pseudobutyrivibrio"	0.02	0.02	0.3	0.05
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Robinsoniella"	0	0	0.08	0.09
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia"	0.31	0.17	0.77	0.05
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Peptostreptococcus"	0	0	0.17	0.07
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Acetanaerobacterium"	0	0	0.11	0.05
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Anaerofilum"	0.04	0.04	0.49	0.08
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Anaerotruncus"	0.2	0.08	0.63	0.03
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Butyricicoccus"	0.2	0.13	0.67	0.04
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium"	0.16	0.02	0.62	0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Lactonifactor"	0	0	0.19	0.07
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Oscillibacter"	0.54	0.21	0.64	0.13
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus"	0.3	0.17	0.76	0.08
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Sporobacter"	0.04	0.07	0.28	0.1
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Subdoligranulum"	0.18	0.09	0.59	0.1
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Acidaminococcus"	0.78	0.53	0.93	0.36
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Allisonella"	0.77	0.54	0.91	0.39
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Dialister"	0.34	0.18	0.52	0.04
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Megamonas"	0.39	0.26	0.89	0.07
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Megasphaera"	0.46	0.31	0.79	0.08
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Mitsuokella"	0.2	0.13	0.61	0.08
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Phascolarctobacterium"	0.23	0.09	0.73	0.07
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Succiniclasticum"	0.19	0.11	0.72	0.06
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Veillonella"	0.31	0.19	0.84	0.22
"Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Zymophilus"	0.4	0.3	0.68	0.12
"Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Catenibacterium"	0.26	0.13	0.74	0.2
"Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Coprobacillus"	0.2	0.07	0.46	0.16
"Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Holdemania"	0.23	0.12	0.74	0.06
"Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Solobacterium"	0.13	0.04	0.5	0.02
