""	"prob_compLasso"	"prob_lasso"	"prob_elnet"	"prob_rf"
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Asaccharobacter"	0.2	0.13	0.58	0.04
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Atopobium"	0	0	0.23	0.14
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Collinsella"	0.19	0.12	0.85	0.05
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Eggerthella"	0.18	0.06	0.7	0.1
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Gordonibacter"	0	0	0.27	0.06
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Olsenella"	0	0	0.14	0.08
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Slackia"	0.01	0	0.25	0.09
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides"	0.35	0.08	0.55	0.1
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Barnesiella"	0.17	0.09	0.74	0.05
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Butyricimonas"	0.14	0.06	0.65	0.05
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Odoribacter"	0.14	0.04	0.66	0.05
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Parabacteroides"	0.18	0.02	0.66	0.07
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Porphyromonas"	0.02	0	0.28	0.1
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Paraprevotella"	0.06	0.01	0.58	0.03
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella"	0.14	0.02	0.56	0.05
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes"	0.48	0.19	0.9	0.14
"Bacteria.Bacteroidetes.Flavobacteria.Flavobacteriales.Flavobacteriaceae.Capnocytophaga"	0	0	0.09	0.08
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus"	0	0	0.35	0.05
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillales_incertae_sedis.Rummeliibacillus"	0.01	0	0.03	0.07
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Gemella"	0.12	0.07	0.44	0.12
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.Abiotrophia"	0.23	0.12	0.62	0.08
