"N"	"P"	"Corr"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"
50	50	"0.1"	1	0.03	"0.36 ( 0.01 )"	"2.8 ( 0.36 )"	"5.01 ( 0.09 )"	3.79	"0.62"	0.36	2.8	5.01
100	50	"0.1"	0.5	0.1	"0.32 ( 0.01 )"	"4.96 ( 0.55 )"	"3.77 ( 0.14 )"	7.19	"0.55"	0.32	4.96	3.77
500	50	"0.1"	0.1	0.26	"0.28 ( 0 )"	"8.81 ( 0.4 )"	"0.78 ( 0.08 )"	14.03	"0.6"	0.28	8.81	0.78
1000	50	"0.1"	0.05	0.31	"0.27 ( 0 )"	"8.37 ( 0.37 )"	"0.24 ( 0.06 )"	14.13	"0.56"	0.27	8.37	0.24
50	100	"0.1"	2	0.04	"0.37 ( 0.02 )"	"2.54 ( 0.37 )"	"5.22 ( 0.08 )"	3.32	"0.63"	0.37	2.54	5.22
100	100	"0.1"	1	0.07	"0.35 ( 0.01 )"	"3.99 ( 0.57 )"	"4.63 ( 0.1 )"	5.36	"0.56"	0.35	3.99	4.63
500	100	"0.1"	0.2	0.18	"0.29 ( 0 )"	"13.62 ( 0.62 )"	"1.22 ( 0.11 )"	18.4	"0.69"	0.29	13.6	1.22
1000	100	"0.1"	0.1	0.23	"0.28 ( 0 )"	"13.35 ( 0.59 )"	"0.47 ( 0.07 )"	18.88	"0.67"	0.28	13.3	0.47
50	500	"0.1"	10	0.01	"0.36 ( 0.02 )"	"3.53 ( 0.44 )"	"5.62 ( 0.07 )"	3.91	"0.85"	0.36	3.53	5.62
100	500	"0.1"	5	0.05	"0.36 ( 0.01 )"	"2.58 ( 0.45 )"	"5.29 ( 0.08 )"	3.29	"0.64"	0.36	2.58	5.29
500	500	"0.1"	1	0.36	"0.32 ( 0.01 )"	"2.42 ( 0.56 )"	"3.74 ( 0.08 )"	4.68	"0.29"	0.32	2.42	3.74
1000	500	"0.1"	0.5	0.14	"0.3 ( 0 )"	"19.4 ( 1.74 )"	"2.05 ( 0.12 )"	23.35	"0.66"	0.3	19.4	2.05
50	1000	"0.1"	20	0	"0.37 ( 0.02 )"	"4.53 ( 0.54 )"	"5.71 ( 0.06 )"	4.82	"0.91"	0.37	4.53	5.71
