"N"	"P"	"Corr"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"
50	50	"0.1"	1	0.02	"0.38 ( 0.02 )"	"10.9 ( 0.97 )"	"3.91 ( 0.15 )"	11.99	"0.77"	0.38	10.9	3.91
100	50	"0.1"	0.5	0.06	"0.34 ( 0.01 )"	"13.39 ( 1.06 )"	"2.45 ( 0.16 )"	15.94	"0.68"	0.34	13.3	2.45
500	50	"0.1"	0.1	0.13	"0.27 ( 0 )"	"19.21 ( 0.81 )"	"0.14 ( 0.04 )"	24.07	"0.73"	0.27	19.2	0.14
1000	50	"0.1"	0.05	0.15	"0.26 ( 0 )"	"18.76 ( 0.63 )"	"0.02 ( 0.01 )"	23.74	"0.73"	0.26	18.7	0.02
50	100	"0.1"	2	0.03	"0.41 ( 0.02 )"	"9.27 ( 0.76 )"	"4.63 ( 0.09 )"	9.64	"0.82"	0.41	9.27	4.63
100	100	"0.1"	1	0.07	"0.34 ( 0.01 )"	"10.1 ( 1.04 )"	"3.87 ( 0.13 )"	11.23	"0.7"	0.34	10.1	3.87
500	100	"0.1"	0.2	0.13	"0.29 ( 0 )"	"25.4 ( 0.81 )"	"0.41 ( 0.06 )"	29.99	"0.8"	0.29	25.4	0.41
1000	100	"0.1"	0.1	0.13	"0.27 ( 0 )"	"28.36 ( 0.94 )"	"0.06 ( 0.03 )"	33.3	"0.81"	0.27	28.3	0.06
50	500	"0.1"	10	0.01	"0.41 ( 0.02 )"	"30.9 ( 3.51 )"	"4.65 ( 0.13 )"	31.25	"0.94"	0.41	30.9	4.65
100	500	"0.1"	5	0.03	"0.36 ( 0.01 )"	"20.83 ( 2.77 )"	"4.43 ( 0.1 )"	21.4	"0.87"	0.36	20.8	4.43
500	500	"0.1"	1	0.08	"0.32 ( 0 )"	"29.71 ( 2.76 )"	"2.55 ( 0.12 )"	32.16	"0.8"	0.32	29.7	2.55
1000	500	"0.1"	0.5	0.07	"0.28 ( 0 )"	"61.47 ( 1.31 )"	"0.56 ( 0.07 )"	65.91	"0.91"	0.28	61.4	0.56
50	1000	"0.1"	20	0	"0.41 ( 0.02 )"	"38.1 ( 4.05 )"	"5.01 ( 0.11 )"	38.09	"0.97"	0.41	38.1	5.01
100	1000	"0.1"	10	0.02	"0.36 ( 0.01 )"	"35.49 ( 4.37 )"	"4.34 ( 0.14 )"	36.15	"0.93"	0.36	35.4	4.34
500	1000	"0.1"	2	0.1	"0.3 ( 0 )"	"20.28 ( 2.74 )"	"3.25 ( 0.08 )"	22.03	"0.75"	0.3	20.2	3.25
1000	1000	"0.1"	1	0.05	"0.29 ( 0 )"	"71.65 ( 3.47 )"	"1.5 ( 0.1 )"	75.15	"0.9"	0.29	71.6	1.5
50	50	"0.3"	1	0.17	"0.56 ( 0.03 )"	"15.98 ( 0.61 )"	"0.26 ( 0.05 )"	20.72	"0.7"	0.56	15.9	0.26
100	50	"0.3"	0.5	0.2	"0.34 ( 0.01 )"	"15.16 ( 0.6 )"	"0 ( 0 )"	20.16	"0.68"	0.34	15.1	0
500	50	"0.3"	0.1	0.19	"0.27 ( 0 )"	"15.78 ( 0.58 )"	"0 ( 0 )"	20.78	"0.69"	0.27	15.7	0
1000	50	"0.3"	0.05	0.22	"0.26 ( 0 )"	"14.34 ( 0.49 )"	"0 ( 0 )"	19.34	"0.67"	0.26	14.3	0
50	100	"0.3"	2	0.13	"0.81 ( 0.05 )"	"22.23 ( 1.04 )"	"0.7 ( 0.08 )"	26.53	"0.78"	0.81	22.2	0.7
100	100	"0.3"	1	0.16	"0.42 ( 0.02 )"	"23.17 ( 0.94 )"	"0.02 ( 0.01 )"	28.15	"0.77"	0.42	23.1	0.02
500	100	"0.3"	0.2	0.18	"0.27 ( 0 )"	"21.25 ( 0.84 )"	"0 ( 0 )"	26.25	"0.74"	0.27	21.2	0
1000	100	"0.3"	0.1	0.2	"0.26 ( 0 )"	"19.57 ( 0.81 )"	"0 ( 0 )"	24.57	"0.73"	0.26	19.5	0
50	500	"0.3"	10	0.05	"1.29 ( 0.07 )"	"43.56 ( 3.08 )"	"2.15 ( 0.13 )"	46.41	"0.89"	1.29	43.5	2.15
100	500	"0.3"	5	0.13	"0.54 ( 0.02 )"	"35.33 ( 1.21 )"	"0.19 ( 0.05 )"	40.14	"0.84"	0.54	35.3	0.19
500	500	"0.3"	1	0.14	"0.28 ( 0 )"	"35.68 ( 1.62 )"	"0 ( 0 )"	40.68	"0.83"	0.28	35.6	0
1000	500	"0.3"	0.5	0.14	"0.27 ( 0 )"	"36.15 ( 1.61 )"	"0 ( 0 )"	41.15	"0.83"	0.27	36.1	0
50	1000	"0.3"	20	0.03	"1.3 ( 0.07 )"	"61.12 ( 4.33 )"	"2.56 ( 0.12 )"	63.56	"0.93"	1.3	61.1	2.56
100	1000	"0.3"	10	0.1	"0.68 ( 0.03 )"	"41.5 ( 1.64 )"	"0.61 ( 0.08 )"	45.89	"0.87"	0.68	41.5	0.61
500	1000	"0.3"	2	0.11	"0.29 ( 0 )"	"46.27 ( 2.2 )"	"0 ( 0 )"	51.27	"0.86"	0.29	46.2	0
1000	1000	"0.3"	1	0.13	"0.27 ( 0 )"	"39.23 ( 2 )"	"0 ( 0 )"	44.23	"0.83"	0.27	39.2	0
50	50	"0.5"	1	0.19	"0.65 ( 0.05 )"	"15.43 ( 0.64 )"	"0.1 ( 0.04 )"	20.33	"0.68"	0.65	15.4	0.1
100	50	"0.5"	0.5	0.2	"0.34 ( 0.01 )"	"14.94 ( 0.61 )"	"0 ( 0 )"	19.94	"0.67"	0.34	14.9	0
