"N"	"P"	"Corr"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"OOB"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"	"OOB_mean"
50	50	"0.1"	1	0	"0.08 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	"0.59 ( 0.01 )"	0	"NaN"	0.08	1	6	0.59
100	50	"0.1"	0.5	0.03	"0.07 ( 0 )"	"2.26 ( 0.17 )"	"5.06 ( 0.12 )"	"0.58 ( 0 )"	3.04	"0.7"	0.07	2.26	5.06	0.58
500	50	"0.1"	0.1	0.23	"0.05 ( 0 )"	"2.34 ( 0.16 )"	"3.77 ( 0.14 )"	"0.56 ( 0 )"	4.56	"0.49"	0.05	2.34	3.77	0.56
1000	50	"0.1"	0.05	0.51	"0.05 ( 0 )"	"2.37 ( 0.16 )"	"2.54 ( 0.11 )"	"0.55 ( 0 )"	5.83	"0.38"	0.05	2.37	2.54	0.55
50	100	"0.1"	2	0	"0.08 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	"0.6 ( 0.01 )"	0	"NaN"	0.08	1	6	0.6
100	100	"0.1"	1	0.01	"0.07 ( 0 )"	"4.76 ( 0.27 )"	"5.51 ( 0.09 )"	"0.58 ( 0 )"	5.24	"0.91"	0.07	4.76	5.51	0.58
500	100	"0.1"	0.2	0.22	"0.05 ( 0 )"	"4.86 ( 0.25 )"	"3.36 ( 0.15 )"	"0.57 ( 0 )"	7.5	"0.63"	0.05	4.86	3.36	0.57
1000	100	"0.1"	0.1	0.52	"0.05 ( 0 )"	"4.65 ( 0.2 )"	"1.99 ( 0.13 )"	"0.56 ( 0 )"	8.66	"0.52"	0.05	4.65	1.99	0.56
50	500	"0.1"	10	0	"0.08 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	"0.59 ( 0.01 )"	0	"NaN"	0.08	1	6	0.59
100	500	"0.1"	5	0	"0.07 ( 0 )"	"23.53 ( 0.53 )"	"5.27 ( 0.11 )"	"0.59 ( 0 )"	24.26	"0.97"	0.07	23.5	5.27	0.59
500	500	"0.1"	1	0.07	"0.06 ( 0 )"	"23.98 ( 0.51 )"	"3.3 ( 0.16 )"	"0.58 ( 0 )"	26.68	"0.9"	0.06	23.9	3.3	0.58
1000	500	"0.1"	0.5	0.17	"0.05 ( 0 )"	"23.6 ( 0.51 )"	"1.93 ( 0.15 )"	"0.57 ( 0 )"	27.67	"0.85"	0.05	23.6	1.93	0.57
50	1000	"0.1"	20	0	"0.08 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	"0.59 ( 0.01 )"	0	"NaN"	0.08	1	6	0.59
100	1000	"0.1"	10	0	"0.06 ( 0 )"	"48.27 ( 0.79 )"	"5.46 ( 0.08 )"	"0.59 ( 0 )"	48.81	"0.99"	0.06	48.2	5.46	0.59
500	1000	"0.1"	2	0.02	"0.06 ( 0 )"	"48.48 ( 0.7 )"	"3.65 ( 0.16 )"	"0.58 ( 0 )"	50.83	"0.95"	0.06	48.4	3.65	0.58
1000	1000	"0.1"	1	0.07	"0.05 ( 0 )"	"47.72 ( 0.68 )"	"2.25 ( 0.14 )"	"0.58 ( 0 )"	51.47	"0.93"	0.05	47.7	2.25	0.58
50	50	"0.3"	1	0	"0.31 ( 0.01 )"	"1 ( 0 )"	"6 ( 0 )"	"1.14 ( 0.01 )"	0	"NaN"	0.31	1	6	1.14
100	50	"0.3"	0.5	0.05	"0.25 ( 0.01 )"	"1.97 ( 0.13 )"	"4.84 ( 0.08 )"	"1.05 ( 0.01 )"	3.11	"0.59"	0.25	1.97	4.84	1.05
500	50	"0.3"	0.1	0.65	"0.16 ( 0 )"	"0.74 ( 0.08 )"	"1.78 ( 0.08 )"	"0.84 ( 0 )"	4.96	"0.14"	0.16	0.74	1.78	0.84
1000	50	"0.3"	0.05	0.84	"0.13 ( 0 )"	"0.3 ( 0.05 )"	"0.69 ( 0.07 )"	"0.77 ( 0 )"	5.61	"0.05"	0.13	0.3	0.69	0.77
50	100	"0.3"	2	0	"0.32 ( 0.01 )"	"1 ( 0 )"	"6 ( 0 )"	"1.2 ( 0.01 )"	0	"NaN"	0.32	1	6	1.2
100	100	"0.3"	1	0.05	"0.25 ( 0.01 )"	"4.14 ( 0.18 )"	"4.63 ( 0.1 )"	"1.14 ( 0.01 )"	5.51	"0.74"	0.25	4.14	4.63	1.14
500	100	"0.3"	0.2	0.47	"0.19 ( 0 )"	"2.7 ( 0.14 )"	"1.77 ( 0.09 )"	"0.93 ( 0 )"	6.93	"0.37"	0.19	2.7	1.77	0.93
1000	100	"0.3"	0.1	0.66	"0.16 ( 0 )"	"1.78 ( 0.13 )"	"0.64 ( 0.07 )"	"0.86 ( 0 )"	7.14	"0.23"	0.16	1.78	0.64	0.86
50	500	"0.3"	10	0	"0.36 ( 0.02 )"	"1 ( 0 )"	"6 ( 0 )"	"1.23 ( 0.01 )"	0	"NaN"	0.36	1	6	1.23
100	500	"0.3"	5	0.01	"0.25 ( 0.01 )"	"25.01 ( 0.53 )"	"4.87 ( 0.09 )"	"1.22 ( 0.01 )"	26.14	"0.96"	0.25	25	4.87	1.22
500	500	"0.3"	1	0.09	"0.23 ( 0 )"	"22.67 ( 0.44 )"	"2.42 ( 0.09 )"	"1.14 ( 0 )"	26.25	"0.86"	0.23	22.6	2.42	1.14
1000	500	"0.3"	0.5	0.16	"0.22 ( 0 )"	"19.38 ( 0.47 )"	"1.14 ( 0.07 )"	"1.11 ( 0 )"	24.24	"0.79"	0.22	19.3	1.14	1.11
50	1000	"0.3"	20	0	"0.34 ( 0.01 )"	"1 ( 0 )"	"6 ( 0 )"	"1.26 ( 0.01 )"	0	"NaN"	0.34	1	6	1.26
100	1000	"0.3"	10	0	"0.26 ( 0.01 )"	"48.76 ( 0.63 )"	"5.22 ( 0.09 )"	"1.21 ( 0.01 )"	49.54	"0.98"	0.26	48.7	5.22	1.21
500	1000	"0.3"	2	0.04	"0.23 ( 0 )"	"46.28 ( 0.69 )"	"2.72 ( 0.1 )"	"1.19 ( 0 )"	49.56	"0.93"	0.23	46.2	2.72	1.19
1000	1000	"0.3"	1	0.07	"0.23 ( 0 )"	"44.67 ( 0.68 )"	"1.33 ( 0.08 )"	"1.17 ( 0 )"	49.34	"0.9"	0.23	44.6	1.33	1.17
50	50	"0.5"	1	0	"0.6 ( 0.03 )"	"1 ( 0 )"	"6 ( 0 )"	"1.46 ( 0.01 )"	0	"NaN"	0.6	1	6	1.46
100	50	"0.5"	0.5	0.09	"0.42 ( 0.01 )"	"1.75 ( 0.14 )"	"4.6 ( 0.09 )"	"1.33 ( 0.01 )"	3.15	"0.5"	0.42	1.75	4.6	1.33
500	50	"0.5"	0.1	0.71	"0.26 ( 0 )"	"0.56 ( 0.07 )"	"1.57 ( 0.08 )"	"1.02 ( 0 )"	4.99	"0.1"	0.26	0.56	1.57	1.02
1000	50	"0.5"	0.05	0.85	"0.2 ( 0 )"	"0.24 ( 0.05 )"	"0.73 ( 0.07 )"	"0.93 ( 0 )"	5.51	"0.04"	0.2	0.24	0.73	0.93
50	100	"0.5"	2	0	"0.6 ( 0.02 )"	"1 ( 0 )"	"6 ( 0 )"	"1.56 ( 0.01 )"	0	"NaN"	0.6	1	6	1.56
