"N"	"P"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"
50	50	1	0.2	"0.53 ( 0.03 )"	"14.99 ( 0.59 )"	"0 ( 0 )"	19.99	"0.67"	0.53	14.9	0
100	50	0.5	0.23	"0.34 ( 0.01 )"	"13.46 ( 0.55 )"	"0 ( 0 )"	18.46	"0.65"	0.34	13.4	0
500	50	0.1	0.23	"0.26 ( 0 )"	"13.65 ( 0.56 )"	"0 ( 0 )"	18.65	"0.64"	0.26	13.6	0
1000	50	0.05	0.27	"0.25 ( 0 )"	"11.76 ( 0.53 )"	"0 ( 0 )"	16.76	"0.6"	0.25	11.7	0
50	100	2	0.19	"0.74 ( 0.06 )"	"19.45 ( 0.66 )"	"0.04 ( 0.02 )"	24.41	"0.74"	0.74	19.4	0.04
100	100	1	0.2	"0.38 ( 0.01 )"	"19.2 ( 1.02 )"	"0 ( 0 )"	24.2	"0.71"	0.38	19.2	0
500	100	0.2	0.23	"0.27 ( 0 )"	"16.28 ( 0.78 )"	"0 ( 0 )"	21.28	"0.67"	0.27	16.2	0
1000	100	0.1	0.23	"0.26 ( 0 )"	"17.05 ( 0.76 )"	"0 ( 0 )"	22.05	"0.69"	0.26	17	0
50	500	10	0.13	"1.65 ( 0.13 )"	"30.38 ( 1.24 )"	"0.58 ( 0.08 )"	34.8	"0.83"	1.65	30.3	0.58
100	500	5	0.15	"0.5 ( 0.02 )"	"32.18 ( 1.44 )"	"0 ( 0 )"	37.18	"0.81"	0.5	32.1	0
500	500	1	0.16	"0.28 ( 0 )"	"29.79 ( 1.73 )"	"0 ( 0 )"	34.79	"0.78"	0.28	29.7	0
1000	500	0.5	0.18	"0.26 ( 0 )"	"27.21 ( 1.58 )"	"0 ( 0 )"	32.21	"0.77"	0.26	27.2	0
50	1000	20	0.1	"2.5 ( 0.22 )"	"36.6 ( 2.03 )"	"1.12 ( 0.09 )"	40.48	"0.86"	2.5	36.6	1.12
100	1000	10	0.13	"0.56 ( 0.02 )"	"40.61 ( 1.71 )"	"0 ( 0 )"	45.61	"0.85"	0.56	40.6	0
500	1000	2	0.14	"0.27 ( 0 )"	"35.98 ( 2.2 )"	"0 ( 0 )"	40.98	"0.8"	0.27	35.9	0
1000	1000	1	0.15	"0.27 ( 0 )"	"34.65 ( 2.02 )"	"0 ( 0 )"	39.65	"0.79"	0.27	34.6	0
