"N"	"P"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"
50	50	1	0.37	"0.54 ( 0.03 )"	"8.36 ( 0.45 )"	"0.02 ( 0.01 )"	13.34	"0.51"	0.54	8.36	0.02
100	50	0.5	0.51	"0.36 ( 0.01 )"	"5.5 ( 0.42 )"	"0 ( 0 )"	10.5	"0.37"	0.36	5.5	0
500	50	0.1	0.79	"0.28 ( 0 )"	"2.33 ( 0.14 )"	"0 ( 0 )"	7.33	"0.15"	0.28	2.33	0
1000	50	0.05	0.86	"0.26 ( 0 )"	"1.82 ( 0.13 )"	"0 ( 0 )"	6.82	"0.1"	0.26	1.82	0
50	100	2	0.32	"0.66 ( 0.04 )"	"11.1 ( 0.38 )"	"0.08 ( 0.03 )"	16.02	"0.61"	0.66	11.1	0.08
100	100	1	0.46	"0.41 ( 0.01 )"	"7.23 ( 0.4 )"	"0 ( 0 )"	12.23	"0.46"	0.41	7.23	0
500	100	0.2	0.71	"0.29 ( 0 )"	"3.26 ( 0.25 )"	"0 ( 0 )"	8.26	"0.22"	0.29	3.26	0
1000	100	0.1	0.82	"0.27 ( 0 )"	"2.25 ( 0.15 )"	"0 ( 0 )"	7.25	"0.15"	0.27	2.25	0
50	500	10	0.19	"1.41 ( 0.11 )"	"19.89 ( 0.38 )"	"0.64 ( 0.08 )"	24.25	"0.77"	1.41	19.8	0.64
100	500	5	0.3	"0.48 ( 0.02 )"	"14.71 ( 0.7 )"	"0 ( 0 )"	19.71	"0.66"	0.48	14.7	0
500	500	1	0.61	"0.28 ( 0 )"	"4.82 ( 0.34 )"	"0 ( 0 )"	9.82	"0.32"	0.28	4.82	0
1000	500	0.5	0.72	"0.27 ( 0 )"	"3.35 ( 0.32 )"	"0 ( 0 )"	8.35	"0.21"	0.27	3.35	0
50	1000	20	0.14	"2.24 ( 0.19 )"	"23.95 ( 0.37 )"	"1.19 ( 0.09 )"	27.76	"0.82"	2.24	23.9	1.19
100	1000	10	0.25	"0.53 ( 0.02 )"	"18.53 ( 0.59 )"	"0 ( 0 )"	23.53	"0.73"	0.53	18.5	0
500	1000	2	0.52	"0.29 ( 0 )"	"6.51 ( 0.45 )"	"0 ( 0 )"	11.51	"0.4"	0.29	6.51	0
1000	1000	1	0.64	"0.27 ( 0 )"	"4.39 ( 0.56 )"	"0 ( 0 )"	9.39	"0.26"	0.27	4.39	0
