"N"	"P"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"num_select"	"MSE_mean"	"FP_mean"	"FN_mean"
50	50	1	0.4	"0.59 ( 0.05 )"	"7.55 ( 0.46 )"	"0.05 ( 0.03 )"	12.5	0.59	7.55	0.05
100	50	0.5	0.54	"0.37 ( 0.01 )"	"5.08 ( 0.44 )"	"0 ( 0 )"	10.08	0.37	5.08	0
500	50	0.1	0.84	"0.28 ( 0 )"	"2.01 ( 0.11 )"	"0 ( 0 )"	7.01	0.28	2.01	0
1000	50	0.05	0.89	"0.27 ( 0 )"	"1.64 ( 0.12 )"	"0 ( 0 )"	6.64	0.27	1.64	0
50	100	2	0.37	"0.79 ( 0.05 )"	"8.81 ( 0.45 )"	"0.21 ( 0.05 )"	13.6	0.79	8.81	0.21
100	100	1	0.49	"0.42 ( 0.01 )"	"6.42 ( 0.37 )"	"0 ( 0 )"	11.42	0.42	6.42	0
500	100	0.2	0.76	"0.29 ( 0 )"	"2.71 ( 0.2 )"	"0 ( 0 )"	7.71	0.29	2.71	0
1000	100	0.1	0.86	"0.28 ( 0 )"	"1.87 ( 0.13 )"	"0 ( 0 )"	6.87	0.28	1.87	0
50	500	10	0.26	"2.06 ( 0.16 )"	"9.9 ( 0.55 )"	"1.43 ( 0.15 )"	13.47	2.06	9.9	1.43
100	500	5	0.35	"0.51 ( 0.02 )"	"11.57 ( 0.77 )"	"0 ( 0 )"	16.57	0.51	11.5	0
500	500	1	0.7	"0.29 ( 0 )"	"3.51 ( 0.26 )"	"0 ( 0 )"	8.51	0.29	3.51	0
1000	500	0.5	0.78	"0.27 ( 0 )"	"2.69 ( 0.27 )"	"0 ( 0 )"	7.69	0.27	2.69	0
50	1000	20	0.24	"3.07 ( 0.23 )"	"8.39 ( 0.55 )"	"2.25 ( 0.16 )"	11.14	3.07	8.39	2.25
100	1000	10	0.34	"0.61 ( 0.04 )"	"12.58 ( 0.67 )"	"0.01 ( 0.01 )"	17.57	0.61	12.5	0.01
500	1000	2	0.61	"0.29 ( 0 )"	"4.79 ( 0.34 )"	"0 ( 0 )"	9.79	0.29	4.79	0
1000	1000	1	0.74	"0.27 ( 0 )"	"3.05 ( 0.37 )"	"0 ( 0 )"	8.05	0.27	3.05	0
