"N"	"P"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"OOB"	"num_select"	"FDR"	"Index"	"MSE_mean"	"FP_mean"	"FN_mean"	"OOB_mean"
50	50	1	0	"1.31 ( 0.06 )"	"1 ( 0 )"	"6 ( 0 )"	"2.09 ( 0.02 )"	0	"NaN"	1	1.31	1	6	2.09
100	50	0.5	0.18	"0.85 ( 0.02 )"	"1.85 ( 0.11 )"	"4.11 ( 0.1 )"	"1.79 ( 0.01 )"	3.74	"0.48"	2	0.85	1.85	4.11	1.79
500	50	0.1	0.8	"0.47 ( 0.01 )"	"0.3 ( 0.05 )"	"1.61 ( 0.08 )"	"1.31 ( 0 )"	4.69	"0.05"	3	0.47	0.3	1.61	1.31
1000	50	0.05	0.88	"0.35 ( 0 )"	"0.07 ( 0.03 )"	"0.78 ( 0.07 )"	"1.17 ( 0 )"	5.29	"0.01"	4	0.35	0.07	0.78	1.17
50	100	2	0	"1.32 ( 0.05 )"	"1 ( 0 )"	"6 ( 0 )"	"2.23 ( 0.02 )"	0	"NaN"	5	1.32	1	6	2.23
100	100	1	0.08	"0.91 ( 0.03 )"	"4.33 ( 0.22 )"	"4.45 ( 0.09 )"	"2.02 ( 0.01 )"	5.88	"0.72"	6	0.91	4.33	4.45	2.02
500	100	0.2	0.6	"0.59 ( 0.01 )"	"1.91 ( 0.15 )"	"1.41 ( 0.07 )"	"1.54 ( 0 )"	6.5	"0.27"	7	0.59	1.91	1.41	1.54
1000	100	0.1	0.81	"0.47 ( 0 )"	"0.71 ( 0.09 )"	"0.53 ( 0.06 )"	"1.39 ( 0 )"	6.18	"0.1"	8	0.47	0.71	0.53	1.39
50	500	10	0	"1.33 ( 0.05 )"	"1 ( 0 )"	"6 ( 0 )"	"2.48 ( 0.03 )"	0	"NaN"	9	1.33	1	6	2.48
100	500	5	0.02	"1.07 ( 0.03 )"	"23.8 ( 0.52 )"	"4.26 ( 0.1 )"	"2.43 ( 0.02 )"	25.54	"0.93"	10	1.07	23.8	4.26	2.43
500	500	1	0.14	"0.84 ( 0.01 )"	"19.92 ( 0.41 )"	"1.71 ( 0.08 )"	"2.14 ( 0.01 )"	24.21	"0.82"	11	0.84	19.9	1.71	2.14
1000	500	0.5	0.19	"0.78 ( 0.01 )"	"18.73 ( 0.42 )"	"0.84 ( 0.06 )"	"2.06 ( 0 )"	23.89	"0.78"	12	0.78	18.7	0.84	2.06
50	1000	20	0	"1.31 ( 0.05 )"	"1 ( 0 )"	"6 ( 0 )"	"2.48 ( 0.03 )"	0	"NaN"	13	1.31	1	6	2.48
100	1000	10	0.01	"1.06 ( 0.03 )"	"48.48 ( 0.63 )"	"4.33 ( 0.1 )"	"2.43 ( 0.02 )"	50.15	"0.97"	14	1.06	48.4	4.33	2.43
500	1000	2	0.06	"0.89 ( 0.01 )"	"44.77 ( 0.71 )"	"1.81 ( 0.1 )"	"2.3 ( 0.01 )"	48.96	"0.91"	15	0.89	44.7	1.81	2.3
1000	1000	1	0.09	"0.85 ( 0.01 )"	"41.77 ( 0.68 )"	"0.99 ( 0.07 )"	"2.25 ( 0.01 )"	46.78	"0.89"	16	0.85	41.7	0.99	2.25
