N	P	Ratio	Stab	MSE	FP	FN	OOB	num_select	Index	MSE_mean	FP_mean	FN_mean	OOB_mean
50	50	1	0.02	4.3 ( 0.2 )	2.41 ( 0.21 )	5.22 ( 0.09 )	2.08 ( 0.02 )	3.05	1	4.3	2.41	5.22	2.08
100	50	0.5	0.18	3.22 ( 0.11 )	2.63 ( 0.21 )	3.84 ( 0.11 )	1.78 ( 0.01 )	4.77	2	3.22	2.63	3.84	1.78
500	50	0.1	0.49	1.94 ( 0.03 )	3.08 ( 0.27 )	1.07 ( 0.08 )	1.31 ( 0 )	8.01	3	1.94	3.08	1.07	1.31
1000	50	0.05	0.57	1.53 ( 0.01 )	3.26 ( 0.26 )	0.2 ( 0.04 )	1.17 ( 0 )	9.06	4	1.53	3.26	0.2	1.17
50	100	2	0.01	4.04 ( 0.19 )	5.04 ( 0.36 )	5.31 ( 0.08 )	2.23 ( 0.02 )	5.71	5	4.04	5.04	5.31	2.23
100	100	1	0.1	3.38 ( 0.11 )	4.66 ( 0.29 )	4.09 ( 0.1 )	2.02 ( 0.01 )	6.57	6	3.38	4.66	4.09	2.02
500	100	0.2	0.34	2.65 ( 0.03 )	6.53 ( 0.38 )	1.08 ( 0.07 )	1.54 ( 0 )	11.45	7	2.65	6.53	1.08	1.54
1000	100	0.1	0.4	2.31 ( 0.02 )	6.77 ( 0.39 )	0.27 ( 0.05 )	1.39 ( 0 )	12.5	8	2.31	6.77	0.27	1.39
50	500	10	0.03	4.02 ( 0.2 )	26.76 ( 0.75 )	4.84 ( 0.09 )	2.47 ( 0.03 )	27.92	9	4.02	26.7	4.84	2.47
100	500	5	0.02	3.9 ( 0.13 )	26.32 ( 0.91 )	4.5 ( 0.08 )	2.42 ( 0.02 )	27.82	10	3.9	26.3	4.5	2.42
500	500	1	0.11	3.68 ( 0.05 )	28.84 ( 1 )	1.5 ( 0.07 )	2.14 ( 0.01 )	33.34	11	3.68	28.8	1.5	2.14
1000	500	0.5	0.12	3.69 ( 0.03 )	34.08 ( 1.34 )	0.49 ( 0.06 )	2.06 ( 0 )	39.59	12	3.69	34	0.49	2.06
50	1000	20	0.04	4.04 ( 0.2 )	48.82 ( 1.04 )	5.29 ( 0.07 )	2.46 ( 0.03 )	49.53	13	4.04	48.8	5.29	2.46
100	1000	10	0.02	3.8 ( 0.12 )	52.42 ( 1.4 )	4.72 ( 0.08 )	2.42 ( 0.02 )	53.7	14	3.8	52.4	4.72	2.42
500	1000	2	0.06	3.93 ( 0.06 )	57.58 ( 1.72 )	1.57 ( 0.08 )	2.3 ( 0.01 )	62.01	15	3.93	57.5	1.57	2.3
1000	1000	1	0.07	3.93 ( 0.04 )	62 ( 1.83 )	0.68 ( 0.06 )	2.25 ( 0 )	67.32	16	3.93	NA	0.68	2.25
