"N"	"P"	"Corr"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"
50	50	"0.1"	1	0.21	"0.6 ( 0.03 )"	"14.72 ( 0.57 )"	"0.01 ( 0.01 )"	19.71	"0.67"	0.6	14.7	0.01
100	50	"0.1"	0.5	0.23	"0.34 ( 0.01 )"	"13.7 ( 0.66 )"	"0 ( 0 )"	18.7	"0.64"	0.34	13.7	0
500	50	"0.1"	0.1	0.23	"0.26 ( 0 )"	"13.59 ( 0.55 )"	"0 ( 0 )"	18.59	"0.65"	0.26	13.5	0
1000	50	"0.1"	0.05	0.25	"0.26 ( 0 )"	"12.64 ( 0.54 )"	"0 ( 0 )"	17.64	"0.63"	0.26	12.6	0
50	100	"0.1"	2	0.2	"0.69 ( 0.05 )"	"19.33 ( 0.67 )"	"0 ( 0 )"	24.33	"0.73"	0.69	19.3	0
100	100	"0.1"	1	0.22	"0.38 ( 0.01 )"	"17.77 ( 0.8 )"	"0 ( 0 )"	22.77	"0.7"	0.38	17.7	0
500	100	"0.1"	0.2	0.21	"0.26 ( 0 )"	"18.57 ( 0.83 )"	"0 ( 0 )"	23.57	"0.71"	0.26	18.5	0
1000	100	"0.1"	0.1	0.22	"0.26 ( 0 )"	"17.23 ( 0.72 )"	"0 ( 0 )"	22.23	"0.7"	0.26	17.2	0
50	500	"0.1"	10	0.13	"1.74 ( 0.11 )"	"29.67 ( 1.23 )"	"0.63 ( 0.07 )"	34.04	"0.83"	1.74	29.6	0.63
100	500	"0.1"	5	0.16	"0.51 ( 0.02 )"	"30.41 ( 1.35 )"	"0 ( 0 )"	35.41	"0.81"	0.51	30.4	0
500	500	"0.1"	1	0.16	"0.27 ( 0 )"	"29.38 ( 1.53 )"	"0 ( 0 )"	34.38	"0.79"	0.27	29.3	0
1000	500	"0.1"	0.5	0.18	"0.27 ( 0 )"	"26.73 ( 1.56 )"	"0 ( 0 )"	31.73	"0.77"	0.27	26.7	0
50	1000	"0.1"	20	0.09	"2.5 ( 0.16 )"	"39.01 ( 2.7 )"	"1.34 ( 0.1 )"	42.67	"0.87"	2.5	39	1.34
100	1000	"0.1"	10	0.13	"0.57 ( 0.03 )"	"39.81 ( 1.68 )"	"0 ( 0 )"	44.81	"0.85"	0.57	39.8	0
500	1000	"0.1"	2	0.14	"0.27 ( 0 )"	"37.88 ( 2.19 )"	"0 ( 0 )"	42.88	"0.82"	0.27	37.8	0
1000	1000	"0.1"	1	0.16	"0.26 ( 0 )"	"31.4 ( 1.69 )"	"0 ( 0 )"	36.4	"0.8"	0.26	31.4	0
50	50	"0.3"	1	0.21	"0.53 ( 0.03 )"	"14.65 ( 0.58 )"	"0.03 ( 0.02 )"	19.62	"0.67"	0.53	14.6	0.03
100	50	"0.3"	0.5	0.2	"0.34 ( 0.01 )"	"14.91 ( 0.58 )"	"0 ( 0 )"	19.91	"0.67"	0.34	14.9	0
500	50	"0.3"	0.1	0.23	"0.27 ( 0 )"	"13.94 ( 0.57 )"	"0 ( 0 )"	18.94	"0.65"	0.27	13.9	0
1000	50	"0.3"	0.05	0.27	"0.26 ( 0 )"	"11.94 ( 0.43 )"	"0 ( 0 )"	16.94	"0.62"	0.26	11.9	0
50	100	"0.3"	2	0.19	"0.72 ( 0.04 )"	"19.67 ( 0.66 )"	"0.08 ( 0.03 )"	24.59	"0.74"	0.72	19.6	0.08
100	100	"0.3"	1	0.19	"0.38 ( 0.01 )"	"20.48 ( 0.85 )"	"0 ( 0 )"	25.48	"0.74"	0.38	20.4	0
500	100	"0.3"	0.2	0.2	"0.26 ( 0 )"	"19.3 ( 0.93 )"	"0 ( 0 )"	24.3	"0.72"	0.26	19.3	0
1000	100	"0.3"	0.1	0.2	"0.26 ( 0 )"	"19 ( 0.86 )"	"0 ( 0 )"	24	"0.71"	0.26	19	0
50	500	"0.3"	10	0.1	"1.94 ( 0.12 )"	"32.52 ( 1.94 )"	"1.33 ( 0.1 )"	36.19	"0.85"	1.94	32.5	1.33
100	500	"0.3"	5	0.14	"0.51 ( 0.02 )"	"34.04 ( 1.37 )"	"0.01 ( 0.01 )"	39.03	"0.83"	0.51	34	0.01
500	500	"0.3"	1	0.16	"0.28 ( 0 )"	"30.92 ( 1.44 )"	"0 ( 0 )"	35.92	"0.8"	0.28	30.9	0
1000	500	"0.3"	0.5	0.16	"0.26 ( 0 )"	"30.61 ( 1.55 )"	"0 ( 0 )"	35.61	"0.79"	0.26	30.6	0
50	1000	"0.3"	20	0.08	"2.46 ( 0.17 )"	"35.99 ( 1.99 )"	"1.83 ( 0.1 )"	39.16	"0.88"	2.46	35.9	1.83
100	1000	"0.3"	10	0.12	"0.6 ( 0.03 )"	"43.92 ( 1.49 )"	"0.01 ( 0.01 )"	48.91	"0.86"	0.6	43.9	0.01
500	1000	"0.3"	2	0.13	"0.28 ( 0 )"	"38.46 ( 2.16 )"	"0 ( 0 )"	43.46	"0.84"	0.28	38.4	0
1000	1000	"0.3"	1	0.13	"0.27 ( 0 )"	"38.29 ( 2.09 )"	"0 ( 0 )"	43.29	"0.83"	0.27	38.2	0
50	50	"0.5"	1	0.2	"0.57 ( 0.04 )"	"14.64 ( 0.66 )"	"0.09 ( 0.03 )"	19.55	"0.66"	0.57	14.6	0.09
