"N"	"P"	"Corr"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"OOB"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"	"OOB_mean"
50	50	"0.1"	1	0	"1.4 ( 0.06 )"	"1 ( 0 )"	"6 ( 0 )"	"1.98 ( 0.02 )"	0	"NaN"	1.4	1	6	1.98
100	50	"0.1"	0.5	0.19	"0.86 ( 0.03 )"	"1.87 ( 0.14 )"	"4.25 ( 0.09 )"	"1.76 ( 0.01 )"	3.62	"0.48"	0.86	1.87	4.25	1.76
500	50	"0.1"	0.1	0.77	"0.44 ( 0.01 )"	"0.32 ( 0.05 )"	"1.81 ( 0.07 )"	"1.29 ( 0 )"	4.51	"0.06"	0.44	0.32	1.81	1.29
1000	50	"0.1"	0.05	0.86	"0.34 ( 0 )"	"0.15 ( 0.04 )"	"0.93 ( 0.07 )"	"1.15 ( 0 )"	5.22	"0.02"	0.34	0.15	0.93	1.15
50	100	"0.1"	2	0	"1.36 ( 0.06 )"	"1 ( 0 )"	"6 ( 0 )"	"2.19 ( 0.02 )"	0	"NaN"	1.36	1	6	2.19
100	100	"0.1"	1	0.12	"0.93 ( 0.03 )"	"4.11 ( 0.18 )"	"4.17 ( 0.1 )"	"1.99 ( 0.01 )"	5.93	"0.68"	0.93	4.11	4.17	1.99
500	100	"0.1"	0.2	0.57	"0.56 ( 0.01 )"	"2.08 ( 0.14 )"	"1.52 ( 0.08 )"	"1.51 ( 0 )"	6.56	"0.29"	0.56	2.08	1.52	1.51
1000	100	"0.1"	0.1	0.74	"0.45 ( 0 )"	"1.11 ( 0.1 )"	"0.74 ( 0.07 )"	"1.37 ( 0 )"	6.37	"0.16"	0.45	1.11	0.74	1.37
50	500	"0.1"	10	0	"1.29 ( 0.05 )"	"1 ( 0 )"	"6 ( 0 )"	"2.39 ( 0.02 )"	0	"NaN"	1.29	1	6	2.39
100	500	"0.1"	5	0.02	"0.95 ( 0.02 )"	"24.82 ( 0.56 )"	"4.55 ( 0.09 )"	"2.35 ( 0.02 )"	26.27	"0.94"	0.95	24.8	4.55	2.35
500	500	"0.1"	1	0.13	"0.84 ( 0.01 )"	"20.8 ( 0.48 )"	"1.79 ( 0.1 )"	"2.12 ( 0.01 )"	25.01	"0.83"	0.84	20.8	1.79	2.12
1000	500	"0.1"	0.5	0.18	"0.76 ( 0.01 )"	"18.72 ( 0.37 )"	"0.91 ( 0.07 )"	"2.02 ( 0 )"	23.81	"0.78"	0.76	18.7	0.91	2.02
50	1000	"0.1"	20	0	"1.35 ( 0.06 )"	"1 ( 0 )"	"6 ( 0 )"	"2.42 ( 0.02 )"	0	"NaN"	1.35	1	6	2.42
100	1000	"0.1"	10	0.01	"1 ( 0.03 )"	"49.42 ( 0.7 )"	"4.71 ( 0.09 )"	"2.39 ( 0.02 )"	50.71	"0.97"	1	49.4	4.71	2.39
500	1000	"0.1"	2	0.06	"0.87 ( 0.01 )"	"46.19 ( 0.64 )"	"1.97 ( 0.09 )"	"2.25 ( 0.01 )"	50.22	"0.92"	0.87	46.1	1.97	2.25
1000	1000	"0.1"	1	0.09	"0.85 ( 0.01 )"	"40.92 ( 0.66 )"	"0.98 ( 0.07 )"	"2.21 ( 0 )"	45.94	"0.89"	0.85	40.9	0.98	2.21
50	50	"0.3"	1	0	"1.22 ( 0.05 )"	"1 ( 0 )"	"6 ( 0 )"	"1.87 ( 0.02 )"	0	"NaN"	1.22	1	6	1.87
100	50	"0.3"	0.5	0.23	"0.77 ( 0.02 )"	"1.72 ( 0.11 )"	"4.4 ( 0.08 )"	"1.65 ( 0.01 )"	3.32	"0.48"	0.77	1.72	4.4	1.65
500	50	"0.3"	0.1	0.7	"0.39 ( 0 )"	"0.54 ( 0.06 )"	"1.98 ( 0.08 )"	"1.23 ( 0 )"	4.56	"0.11"	0.39	0.54	1.98	1.23
1000	50	"0.3"	0.05	0.82	"0.31 ( 0 )"	"0.3 ( 0.05 )"	"1.19 ( 0.08 )"	"1.1 ( 0 )"	5.11	"0.05"	0.31	0.3	1.19	1.1
50	100	"0.3"	2	0	"1.15 ( 0.05 )"	"1 ( 0 )"	"6 ( 0 )"	"2.03 ( 0.02 )"	0	"NaN"	1.15	1	6	2.03
100	100	"0.3"	1	0.15	"0.81 ( 0.02 )"	"3.77 ( 0.16 )"	"4.28 ( 0.07 )"	"1.87 ( 0.01 )"	5.49	"0.67"	0.81	3.77	4.28	1.87
500	100	"0.3"	0.2	0.52	"0.51 ( 0.01 )"	"2.21 ( 0.14 )"	"1.94 ( 0.09 )"	"1.45 ( 0 )"	6.27	"0.33"	0.51	2.21	1.94	1.45
1000	100	"0.3"	0.1	0.75	"0.41 ( 0 )"	"1.4 ( 0.1 )"	"0.76 ( 0.07 )"	"1.31 ( 0 )"	6.64	"0.2"	0.41	1.4	0.76	1.31
50	500	"0.3"	10	0	"1.14 ( 0.05 )"	"1 ( 0 )"	"6 ( 0 )"	"2.24 ( 0.02 )"	0	"NaN"	1.14	1	6	2.24
100	500	"0.3"	5	0.02	"0.89 ( 0.03 )"	"24.48 ( 0.46 )"	"4.69 ( 0.08 )"	"2.21 ( 0.01 )"	25.79	"0.95"	0.89	24.4	4.69	2.21
500	500	"0.3"	1	0.12	"0.73 ( 0.01 )"	"20.86 ( 0.41 )"	"2.1 ( 0.09 )"	"1.99 ( 0.01 )"	24.76	"0.84"	0.73	20.8	2.1	1.99
1000	500	"0.3"	0.5	0.19	"0.68 ( 0.01 )"	"18.71 ( 0.45 )"	"1.13 ( 0.08 )"	"1.91 ( 0 )"	23.58	"0.79"	0.68	18.7	1.13	1.91
