"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"
50	50	"0.1"	1	0.02	"0.58 ( 0.01 )"	"1.68 ( 0.53 )"	"5.42 ( 0.1 )"	2.26	"0.58"	0.58	1.68	5.42
100	50	"0.1"	0.5	0.06	"0.51 ( 0 )"	"0.08 ( 0.04 )"	"5.65 ( 0.08 )"	0.43	"0.18"	0.51	0.08	5.65
500	50	"0.1"	0.1	NA	"0.5 ( 0 )"	"0 ( 0 )"	"6 ( 0 )"	0	"NaN"	0.5	0	6
1000	50	"0.1"	0.05	NA	"0.5 ( 0 )"	"0 ( 0 )"	"6 ( 0 )"	0	"NaN"	0.5	0	6
50	100	"0.1"	2	0.04	"0.61 ( 0.01 )"	"3.43 ( 0.63 )"	"5.23 ( 0.1 )"	4.2	"0.71"	0.61	3.43	5.23
100	100	"0.1"	1	0.03	"0.51 ( 0 )"	"0.31 ( 0.1 )"	"5.8 ( 0.05 )"	0.51	"0.53"	0.51	0.31	5.8
500	100	"0.1"	0.2	NA	"0.5 ( 0 )"	"0 ( 0 )"	"6 ( 0 )"	0	"NaN"	0.5	0	6
1000	100	"0.1"	0.1	NA	"0.5 ( 0 )"	"0 ( 0 )"	"6 ( 0 )"	0	"NaN"	0.5	0	6
50	500	"0.1"	10	0	"0.73 ( 0.01 )"	"29.62 ( 7.94 )"	"5.17 ( 0.13 )"	30.45	"0.9"	0.73	29.62	5.17
100	500	"0.1"	5	0.04	"0.53 ( 0.01 )"	"0.53 ( 0.1 )"	"5.63 ( 0.08 )"	0.9	"0.57"	0.53	0.53	5.63
500	500	"0.1"	1	NA	"0.5 ( 0 )"	"0 ( 0 )"	"6 ( 0 )"	0	"NaN"	0.5	0	6
1000	500	"0.1"	0.5	NA	"0.5 ( 0 )"	"0 ( 0 )"	"6 ( 0 )"	0	"NaN"	0.5	0	6
50	1000	"0.1"	20	0.01	"0.83 ( 0.01 )"	"17.45 ( 2.89 )"	"5.37 ( 0.1 )"	18.08	"0.94"	0.83	17.45	5.37
100	1000	"0.1"	10	0.03	"0.56 ( 0.01 )"	"1.27 ( 0.25 )"	"5.59 ( 0.08 )"	1.68	"0.73"	0.56	1.27	5.59
500	1000	"0.1"	2	0	"0.5 ( 0 )"	"0 ( 0 )"	"5.98 ( 0.02 )"	0.02	"0"	0.5	0	5.98
1000	1000	"0.1"	1	NA	"0.5 ( 0 )"	"0 ( 0 )"	"6 ( 0 )"	0	"NaN"	0.5	0	6
50	50	"0.3"	1	0.14	"0.86 ( 0.01 )"	"9.81 ( 1.05 )"	"1.78 ( 0.11 )"	14.03	"0.6"	0.86	9.81	1.78
100	50	"0.3"	0.5	0.37	"0.83 ( 0.01 )"	"3.64 ( 0.75 )"	"1.7 ( 0.09 )"	7.94	"0.27"	0.83	3.64	1.7
500	50	"0.3"	0.1	0.81	"0.81 ( 0 )"	"0.02 ( 0.01 )"	"1.75 ( 0.09 )"	4.27	"0"	0.81	0.02	1.75
1000	50	"0.3"	0.05	0.81	"0.8 ( 0 )"	"0.06 ( 0.05 )"	"1.7 ( 0.09 )"	4.36	"0.01"	0.8	0.06	1.7
50	100	"0.3"	2	0.1	"0.9 ( 0 )"	"16.32 ( 1.58 )"	"2.2 ( 0.11 )"	20.12	"0.74"	0.9	16.32	2.2
100	100	"0.3"	1	0.31	"0.84 ( 0 )"	"5.71 ( 1.02 )"	"1.72 ( 0.1 )"	9.99	"0.41"	0.84	5.71	1.72
500	100	"0.3"	0.2	0.8	"0.81 ( 0 )"	"0.12 ( 0.06 )"	"1.7 ( 0.09 )"	4.42	"0.01"	0.81	0.12	1.7
1000	100	"0.3"	0.1	0.74	"0.8 ( 0 )"	"0.49 ( 0.26 )"	"2.05 ( 0.08 )"	4.44	"0.04"	0.8	0.49	2.05
50	500	"0.3"	10	0.02	"1 ( 0 )"	"105.94 ( 7.57 )"	"2.04 ( 0.11 )"	109.9	"0.95"	1	105.94	2.04
100	500	"0.3"	5	0.12	"0.88 ( 0.01 )"	"23.82 ( 3.36 )"	"1.9 ( 0.09 )"	27.92	"0.75"	0.88	23.82	1.9
500	500	"0.3"	1	0.79	"0.8 ( 0 )"	"0.24 ( 0.08 )"	"1.86 ( 0.09 )"	4.38	"0.03"	0.8	0.24	1.86
1000	500	"0.3"	0.5	0.73	"0.8 ( 0 )"	"0.63 ( 0.15 )"	"1.85 ( 0.09 )"	4.78	"0.08"	0.8	0.63	1.85
50	1000	"0.3"	20	0.02	"1 ( 0 )"	"154.21 ( 5.09 )"	"2.09 ( 0.1 )"	158.12	"0.97"	1	154.21	2.09
100	1000	"0.3"	10	0.07	"0.91 ( 0 )"	"36.7 ( 6.19 )"	"2.26 ( 0.1 )"	40.44	"0.84"	0.91	36.7	2.26
500	1000	"0.3"	2	0.74	"0.81 ( 0 )"	"0.57 ( 0.15 )"	"1.66 ( 0.09 )"	4.91	"0.07"	0.81	0.57	1.66
1000	1000	"0.3"	1	0.73	"0.8 ( 0 )"	"0.7 ( 0.15 )"	"1.84 ( 0.09 )"	4.86	"0.09"	0.8	0.7	1.84
50	50	"0.5"	1	0.2	"0.92 ( 0 )"	"9.67 ( 0.64 )"	"1.26 ( 0.09 )"	14.41	"0.63"	0.92	9.67	1.26
100	50	"0.5"	0.5	0.38	"0.89 ( 0 )"	"5.16 ( 0.81 )"	"0.81 ( 0.08 )"	10.35	"0.36"	0.89	5.16	0.81
500	50	"0.5"	0.1	0.95	"0.87 ( 0 )"	"0.15 ( 0.1 )"	"0.15 ( 0.04 )"	6	"0.01"	0.87	0.15	0.15
1000	50	"0.5"	0.05	0.96	"0.87 ( 0 )"	"0.13 ( 0.07 )"	"0.09 ( 0.03 )"	6.04	"0.01"	0.87	0.13	0.09
50	100	"0.5"	2	0.09	"0.96 ( 0.01 )"	"25 ( 2.25 )"	"1.32 ( 0.09 )"	29.68	"0.77"	0.96	25	1.32
100	100	"0.5"	1	0.31	"0.9 ( 0 )"	"7.65 ( 0.74 )"	"1.01 ( 0.08 )"	12.64	"0.51"	0.9	7.65	1.01
500	100	"0.5"	0.2	0.93	"0.87 ( 0 )"	"0.14 ( 0.07 )"	"0.28 ( 0.05 )"	5.86	"0.02"	0.87	0.14	0.28
1000	100	"0.5"	0.1	0.92	"0.87 ( 0 )"	"0.34 ( 0.17 )"	"0.12 ( 0.03 )"	6.22	"0.03"	0.87	0.34	0.12
50	500	"0.5"	10	0.02	"1 ( 0 )"	"157.13 ( 6.78 )"	"1.35 ( 0.1 )"	161.78	"0.97"	1	157.13	1.35
100	500	"0.5"	5	0.1	"0.95 ( 0 )"	"33.42 ( 3.83 )"	"1.3 ( 0.09 )"	38.12	"0.82"	0.95	33.42	1.3
500	500	"0.5"	1	0.86	"0.87 ( 0 )"	"0.67 ( 0.16 )"	"0.3 ( 0.05 )"	6.37	"0.07"	0.87	0.67	0.3
1000	500	"0.5"	0.5	0.98	"0.87 ( 0 )"	"0.03 ( 0.02 )"	"0.09 ( 0.03 )"	5.94	"0"	0.87	0.03	0.09
50	1000	"0.5"	20	0.01	"1 ( 0 )"	"246.84 ( 6.66 )"	"1.53 ( 0.09 )"	251.31	"0.98"	1	246.84	1.53
100	1000	"0.5"	10	0.04	"0.98 ( 0 )"	"96.92 ( 8.19 )"	"1.31 ( 0.09 )"	101.61	"0.92"	0.98	96.92	1.31
500	1000	"0.5"	2	0.87	"0.87 ( 0 )"	"0.53 ( 0.2 )"	"0.35 ( 0.06 )"	6.18	"0.04"	0.87	0.53	0.35
1000	1000	"0.5"	1	0.93	"0.87 ( 0 )"	"0.35 ( 0.12 )"	"0.11 ( 0.03 )"	6.24	"0.03"	0.87	0.35	0.11
50	50	"0.7"	1	0.15	"0.95 ( 0 )"	"12.8 ( 0.96 )"	"1 ( 0.09 )"	17.8	"0.66"	0.95	12.8	1
