"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"
50	50	"0.1"	1	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	50	"0.1"	0.5	0.01	"1 ( 0 )"	"2.4 ( 0.16 )"	"5.3 ( 0.11 )"	3	"0.78"	1	2.4	5.3
500	50	"0.1"	0.1	0.12	"1 ( 0 )"	"2.96 ( 0.21 )"	"4.29 ( 0.15 )"	4.63	"0.62"	1	2.96	4.29
1000	50	"0.1"	0.05	0.33	"1 ( 0 )"	"3.28 ( 0.21 )"	"3.04 ( 0.12 )"	6.24	"0.49"	1	3.28	3.04
50	100	"0.1"	2	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	100	"0.1"	1	0	"1 ( 0 )"	"5.09 ( 0.21 )"	"5.6 ( 0.09 )"	5.48	"0.93"	1	5.09	5.6
500	100	"0.1"	0.2	0.1	"1 ( 0 )"	"5.39 ( 0.29 )"	"4.05 ( 0.16 )"	7.34	"0.72"	1	5.39	4.05
1000	100	"0.1"	0.1	0.25	"1 ( 0 )"	"5.43 ( 0.26 )"	"2.89 ( 0.14 )"	8.54	"0.62"	1	5.43	2.89
50	500	"0.1"	10	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	500	"0.1"	5	0	"1 ( 0 )"	"24.14 ( 0.56 )"	"5.35 ( 0.11 )"	24.79	"0.97"	1	24.14	5.35
500	500	"0.1"	1	0.03	"1 ( 0 )"	"24.48 ( 0.54 )"	"4.25 ( 0.16 )"	26.23	"0.93"	1	24.48	4.25
1000	500	"0.1"	0.5	0.07	"1 ( 0 )"	"24.08 ( 0.54 )"	"3.1 ( 0.16 )"	26.98	"0.89"	1	24.08	3.1
50	1000	"0.1"	20	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	1000	"0.1"	10	0	"1 ( 0 )"	"48.22 ( 0.62 )"	"5.53 ( 0.09 )"	48.69	"0.99"	1	48.22	5.53
500	1000	"0.1"	2	0.01	"1 ( 0 )"	"50.18 ( 0.78 )"	"4.63 ( 0.12 )"	51.55	"0.97"	1	50.18	4.63
1000	1000	"0.1"	1	0.04	"1 ( 0 )"	"49.43 ( 0.66 )"	"3.23 ( 0.14 )"	52.2	"0.95"	1	49.43	3.23
50	50	"0.3"	1	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	50	"0.3"	0.5	0.02	"1 ( 0 )"	"2.13 ( 0.12 )"	"5.14 ( 0.08 )"	2.96	"0.71"	1	2.13	5.14
500	50	"0.3"	0.1	0.46	"1 ( 0 )"	"1.43 ( 0.11 )"	"2.59 ( 0.11 )"	4.84	"0.27"	1	1.43	2.59
1000	50	"0.3"	0.05	0.6	"1 ( 0 )"	"1.44 ( 0.13 )"	"1.35 ( 0.08 )"	6.09	"0.21"	1	1.44	1.35
50	100	"0.3"	2	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	100	"0.3"	1	0.01	"1 ( 0 )"	"4.84 ( 0.18 )"	"5.1 ( 0.08 )"	5.73	"0.84"	1	4.84	5.1
500	100	"0.3"	0.2	0.28	"1 ( 0 )"	"3.77 ( 0.17 )"	"2.76 ( 0.1 )"	7.01	"0.52"	1	3.77	2.76
1000	100	"0.3"	0.1	0.44	"1 ( 0 )"	"3.43 ( 0.18 )"	"1.5 ( 0.09 )"	7.93	"0.41"	1	3.43	1.5
50	500	"0.3"	10	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	500	"0.3"	5	0	"1 ( 0 )"	"24.49 ( 0.47 )"	"5.11 ( 0.08 )"	25.38	"0.96"	1	24.49	5.11
500	500	"0.3"	1	0.06	"1 ( 0 )"	"23.05 ( 0.49 )"	"3.15 ( 0.09 )"	25.9	"0.89"	1	23.05	3.15
1000	500	"0.3"	0.5	0.11	"1 ( 0 )"	"22.18 ( 0.49 )"	"1.91 ( 0.09 )"	26.27	"0.84"	1	22.18	1.91
50	1000	"0.3"	20	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	1000	"0.3"	10	0	"1 ( 0 )"	"46.96 ( 0.66 )"	"5.18 ( 0.08 )"	47.78	"0.98"	1	46.96	5.18
