"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"
50	50	"0"	1	0.15	"0.76 ( 0.01 )"	"12.04 ( 0.89 )"	"1.42 ( 0.11 )"	15.62	"0.61"	0.76	12.04	1.42
100	50	"0"	0.5	0.23	"0.84 ( 0.01 )"	"11.44 ( 0.76 )"	"0.46 ( 0.07 )"	15.98	"0.56"	0.84	11.44	0.46
500	50	"0"	0.1	0.36	"0.92 ( 0 )"	"8.74 ( 0.72 )"	"0 ( 0 )"	13.74	"0.45"	0.92	8.74	0
1000	50	"0"	0.05	0.41	"0.93 ( 0 )"	"7.56 ( 0.72 )"	"0 ( 0 )"	12.56	"0.4"	0.93	7.56	0
50	100	"0"	2	0.1	"0.72 ( 0.01 )"	"18.92 ( 1.7 )"	"1.81 ( 0.12 )"	22.11	"0.72"	0.72	18.92	1.81
100	100	"0"	1	0.22	"0.82 ( 0.01 )"	"12.48 ( 0.9 )"	"0.96 ( 0.09 )"	16.52	"0.58"	0.82	12.48	0.96
500	100	"0"	0.2	0.32	"0.92 ( 0 )"	"11.78 ( 0.99 )"	"0 ( 0 )"	16.78	"0.52"	0.92	11.78	0
1000	100	"0"	0.1	0.34	"0.93 ( 0 )"	"10.71 ( 1.03 )"	"0 ( 0 )"	15.71	"0.47"	0.93	10.71	0
50	500	"0"	10	0.03	"0.68 ( 0.01 )"	"57.17 ( 5.72 )"	"2.27 ( 0.13 )"	59.9	"0.88"	0.68	57.17	2.27
100	500	"0"	5	0.15	"0.77 ( 0.01 )"	"20.84 ( 2.08 )"	"1.49 ( 0.1 )"	24.35	"0.69"	0.77	20.84	1.49
500	500	"0"	1	0.27	"0.92 ( 0 )"	"16.79 ( 1.47 )"	"0 ( 0 )"	21.79	"0.61"	0.92	16.79	0
1000	500	"0"	0.5	0.36	"0.93 ( 0 )"	"11.47 ( 1.14 )"	"0 ( 0 )"	16.47	"0.48"	0.93	11.47	0
50	1000	"0"	20	0.02	"0.67 ( 0.01 )"	"72.88 ( 8.55 )"	"2.89 ( 0.13 )"	74.99	"0.91"	0.67	72.88	2.89
100	1000	"0"	10	0.09	"0.76 ( 0.01 )"	"29.95 ( 4.05 )"	"2 ( 0.1 )"	32.95	"0.77"	0.76	29.95	2
500	1000	"0"	2	0.24	"0.91 ( 0 )"	"19.47 ( 1.76 )"	"0 ( 0 )"	24.47	"0.62"	0.91	19.47	0
1000	1000	"0"	1	0.25	"0.93 ( 0 )"	"18.47 ( 1.76 )"	"0 ( 0 )"	23.47	"0.58"	0.93	18.47	0
