"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"
50	50	"0"	1	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	50	"0"	0.5	0.1	"1 ( 0 )"	"1.97 ( 0.13 )"	"4.62 ( 0.08 )"	3.34	"0.55"	1	1.97	4.62
500	50	"0"	0.1	0.54	"1 ( 0 )"	"1.26 ( 0.12 )"	"2.19 ( 0.08 )"	5.07	"0.22"	1	1.26	2.19
1000	50	"0"	0.05	0.73	"1 ( 0 )"	"0.86 ( 0.09 )"	"1.12 ( 0.08 )"	5.74	"0.13"	1	0.86	1.12
50	100	"0"	2	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	100	"0"	1	0.05	"1 ( 0 )"	"4.29 ( 0.17 )"	"4.79 ( 0.09 )"	5.5	"0.77"	1	4.29	4.79
500	100	"0"	0.2	0.4	"1 ( 0 )"	"3.42 ( 0.16 )"	"2.01 ( 0.09 )"	7.41	"0.44"	1	3.42	2.01
1000	100	"0"	0.1	0.49	"1 ( 0 )"	"3.39 ( 0.19 )"	"1.14 ( 0.07 )"	8.25	"0.38"	1	3.39	1.14
50	500	"0"	10	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	500	"0"	5	0.01	"1 ( 0 )"	"24.68 ( 0.48 )"	"4.5 ( 0.09 )"	26.18	"0.94"	1	24.68	4.5
500	500	"0"	1	0.09	"1 ( 0 )"	"23.08 ( 0.51 )"	"2.34 ( 0.1 )"	26.74	"0.86"	1	23.08	2.34
1000	500	"0"	0.5	0.14	"1 ( 0 )"	"22.72 ( 0.46 )"	"1.34 ( 0.08 )"	27.38	"0.83"	1	22.72	1.34
50	1000	"0"	20	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	1000	"0"	10	0.01	"1 ( 0 )"	"46.76 ( 0.67 )"	"4.86 ( 0.09 )"	47.9	"0.98"	1	46.76	4.86
500	1000	"0"	2	0.04	"1 ( 0 )"	"47.82 ( 0.66 )"	"2.5 ( 0.1 )"	51.32	"0.93"	1	47.82	2.5
1000	1000	"0"	1	0.07	"1 ( 0 )"	"47.14 ( 0.77 )"	"1.46 ( 0.08 )"	51.68	"0.91"	1	47.14	1.46
