"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"
50	50	"0.1"	1	0.13	"0.77 ( 0.01 )"	"13.02 ( 1.02 )"	"1.51 ( 0.11 )"	16.51	"0.63"	0.77	13.02	1.51
100	50	"0.1"	0.5	0.24	"0.85 ( 0.01 )"	"10.71 ( 0.62 )"	"0.56 ( 0.07 )"	15.15	"0.57"	0.85	10.71	0.56
500	50	"0.1"	0.1	0.41	"0.92 ( 0 )"	"7.43 ( 0.6 )"	"0.02 ( 0.01 )"	12.41	"0.42"	0.92	7.43	0.02
1000	50	"0.1"	0.05	0.39	"0.92 ( 0 )"	"7.82 ( 0.76 )"	"0 ( 0 )"	12.82	"0.4"	0.92	7.82	0
50	100	"0.1"	2	0.09	"0.73 ( 0.01 )"	"21.55 ( 1.94 )"	"1.64 ( 0.11 )"	24.91	"0.73"	0.73	21.55	1.64
100	100	"0.1"	1	0.18	"0.83 ( 0.01 )"	"15.59 ( 1.32 )"	"0.84 ( 0.1 )"	19.75	"0.62"	0.83	15.59	0.84
500	100	"0.1"	0.2	0.32	"0.92 ( 0 )"	"11.5 ( 0.9 )"	"0 ( 0 )"	16.5	"0.54"	0.92	11.5	0
1000	100	"0.1"	0.1	0.34	"0.92 ( 0 )"	"11.02 ( 1.05 )"	"0 ( 0 )"	16.02	"0.49"	0.92	11.02	0
50	500	"0.1"	10	0.03	"0.66 ( 0.01 )"	"58.7 ( 5.86 )"	"2.64 ( 0.12 )"	61.06	"0.89"	0.66	58.7	2.64
100	500	"0.1"	5	0.14	"0.78 ( 0.01 )"	"19.29 ( 1.92 )"	"1.76 ( 0.1 )"	22.53	"0.68"	0.78	19.29	1.76
500	500	"0.1"	1	0.26	"0.91 ( 0 )"	"17.05 ( 1.43 )"	"0 ( 0 )"	22.05	"0.62"	0.91	17.05	0
1000	500	"0.1"	0.5	0.29	"0.93 ( 0 )"	"15.14 ( 1.39 )"	"0 ( 0 )"	20.14	"0.54"	0.93	15.14	0
50	1000	"0.1"	20	0.02	"0.65 ( 0.01 )"	"85.97 ( 9 )"	"3.03 ( 0.13 )"	87.94	"0.92"	0.65	85.97	3.03
100	1000	"0.1"	10	0.12	"0.76 ( 0.01 )"	"22.02 ( 1.97 )"	"2.07 ( 0.1 )"	24.95	"0.75"	0.76	22.02	2.07
500	1000	"0.1"	2	0.23	"0.91 ( 0 )"	"21.07 ( 1.75 )"	"0 ( 0 )"	26.07	"0.66"	0.91	21.07	0
1000	1000	"0.1"	1	0.24	"0.92 ( 0 )"	"19.56 ( 2.29 )"	"0 ( 0 )"	24.56	"0.57"	0.92	19.56	0
50	50	"0.3"	1	0.13	"0.76 ( 0.01 )"	"11.32 ( 0.99 )"	"1.87 ( 0.14 )"	14.45	"0.59"	0.76	11.32	1.87
100	50	"0.3"	0.5	0.18	"0.83 ( 0.01 )"	"12.96 ( 0.86 )"	"0.75 ( 0.09 )"	17.21	"0.61"	0.83	12.96	0.75
500	50	"0.3"	0.1	0.33	"0.91 ( 0 )"	"9.89 ( 0.75 )"	"0 ( 0 )"	14.89	"0.51"	0.91	9.89	0
1000	50	"0.3"	0.05	0.38	"0.92 ( 0 )"	"8.56 ( 0.69 )"	"0 ( 0 )"	13.56	"0.44"	0.92	8.56	0
50	100	"0.3"	2	0.08	"0.74 ( 0.01 )"	"17.99 ( 1.78 )"	"2.32 ( 0.14 )"	20.67	"0.72"	0.74	17.99	2.32
100	100	"0.3"	1	0.17	"0.82 ( 0.01 )"	"14.36 ( 1.25 )"	"1.36 ( 0.12 )"	18	"0.6"	0.82	14.36	1.36
500	100	"0.3"	0.2	0.29	"0.91 ( 0 )"	"13.08 ( 1 )"	"0 ( 0 )"	18.08	"0.56"	0.91	13.08	0
1000	100	"0.3"	0.1	0.38	"0.92 ( 0 )"	"9.67 ( 0.76 )"	"0 ( 0 )"	14.67	"0.49"	0.92	9.67	0
50	500	"0.3"	10	0.03	"0.66 ( 0.01 )"	"49.2 ( 5.65 )"	"3.15 ( 0.13 )"	51.05	"0.89"	0.66	49.2	3.15
100	500	"0.3"	5	0.11	"0.77 ( 0.01 )"	"23.84 ( 2.37 )"	"2.05 ( 0.11 )"	26.79	"0.73"	0.77	23.84	2.05
500	500	"0.3"	1	0.19	"0.91 ( 0 )"	"25.04 ( 1.69 )"	"0 ( 0 )"	30.04	"0.72"	0.91	25.04	0
