"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"
50	50	"0.1"	1	0.13	"0.97 ( 0 )"	"14.84 ( 0.9 )"	"0.93 ( 0.09 )"	19.91	"0.7"	0.97	14.84	0.93
100	50	"0.1"	0.5	0.33	"0.93 ( 0 )"	"7.19 ( 0.43 )"	"0.49 ( 0.07 )"	12.7	"0.53"	0.93	7.19	0.49
500	50	"0.1"	0.1	0.7	"0.9 ( 0 )"	"1.93 ( 0.34 )"	"0.16 ( 0.04 )"	7.77	"0.16"	0.9	1.93	0.16
1000	50	"0.1"	0.05	0.79	"0.9 ( 0 )"	"1.37 ( 0.42 )"	"0.01 ( 0.01 )"	7.36	"0.1"	0.9	1.37	0.01
50	100	"0.1"	2	0.07	"0.99 ( 0 )"	"36.64 ( 2.16 )"	"0.65 ( 0.07 )"	41.99	"0.84"	0.99	36.64	0.65
100	100	"0.1"	1	0.2	"0.94 ( 0 )"	"16.16 ( 1.22 )"	"0.47 ( 0.06 )"	21.69	"0.7"	0.94	16.16	0.47
500	100	"0.1"	0.2	0.36	"0.9 ( 0 )"	"8.64 ( 1.35 )"	"0.08 ( 0.03 )"	14.56	"0.37"	0.9	8.64	0.08
1000	100	"0.1"	0.1	0.47	"0.9 ( 0 )"	"5.83 ( 1.4 )"	"0.02 ( 0.01 )"	11.81	"0.22"	0.9	5.83	0.02
50	500	"0.1"	10	0.01	"1 ( 0 )"	"248.06 ( 7.56 )"	"0.56 ( 0.07 )"	253.5	"0.98"	1	248.06	0.56
100	500	"0.1"	5	0.03	"1 ( 0 )"	"132.04 ( 7.47 )"	"0.33 ( 0.05 )"	137.71	"0.95"	1	132.04	0.33
500	500	"0.1"	1	0.34	"0.91 ( 0 )"	"12.55 ( 1.81 )"	"0.04 ( 0.02 )"	18.51	"0.52"	0.91	12.55	0.04
1000	500	"0.1"	0.5	0.69	"0.9 ( 0 )"	"3.02 ( 0.6 )"	"0.01 ( 0.01 )"	9.01	"0.22"	0.9	3.02	0.01
50	1000	"0.1"	20	0.01	"1 ( 0 )"	"398.98 ( 6.9 )"	"0.8 ( 0.08 )"	404.18	"0.99"	1	398.98	0.8
100	1000	"0.1"	10	0.02	"1 ( 0 )"	"296.19 ( 8.29 )"	"0.35 ( 0.05 )"	301.84	"0.98"	1	296.19	0.35
500	1000	"0.1"	2	0.39	"0.9 ( 0 )"	"10.2 ( 0.98 )"	"0.1 ( 0.03 )"	16.1	"0.52"	0.9	10.2	0.1
1000	1000	"0.1"	1	0.83	"0.9 ( 0 )"	"1.76 ( 0.26 )"	"0.02 ( 0.01 )"	7.74	"0.18"	0.9	1.76	0.02
50	50	"0.3"	1	0.14	"0.96 ( 0 )"	"13.96 ( 0.83 )"	"1.01 ( 0.09 )"	18.95	"0.7"	0.96	13.96	1.01
100	50	"0.3"	0.5	0.25	"0.92 ( 0 )"	"9.38 ( 0.67 )"	"0.68 ( 0.07 )"	14.7	"0.58"	0.92	9.38	0.68
500	50	"0.3"	0.1	0.44	"0.89 ( 0 )"	"5.43 ( 0.9 )"	"0.14 ( 0.03 )"	11.29	"0.3"	0.89	5.43	0.14
1000	50	"0.3"	0.05	0.48	"0.88 ( 0 )"	"5.03 ( 1 )"	"0.09 ( 0.03 )"	10.94	"0.23"	0.88	5.03	0.09
50	100	"0.3"	2	0.06	"0.99 ( 0 )"	"36.33 ( 2.24 )"	"0.9 ( 0.09 )"	41.43	"0.85"	0.99	36.33	0.9
100	100	"0.3"	1	0.19	"0.93 ( 0 )"	"16.08 ( 0.95 )"	"0.75 ( 0.07 )"	21.33	"0.72"	0.93	16.08	0.75
500	100	"0.3"	0.2	0.37	"0.89 ( 0 )"	"8.66 ( 1.15 )"	"0.11 ( 0.03 )"	14.55	"0.42"	0.89	8.66	0.11
1000	100	"0.3"	0.1	0.39	"0.88 ( 0 )"	"8.45 ( 1.17 )"	"0.12 ( 0.03 )"	14.33	"0.39"	0.88	8.45	0.12
50	500	"0.3"	10	0.01	"1 ( 0 )"	"228.37 ( 7.07 )"	"0.6 ( 0.08 )"	233.77	"0.97"	1	228.37	0.6
100	500	"0.3"	5	0.04	"0.99 ( 0 )"	"114.53 ( 5.78 )"	"0.43 ( 0.06 )"	120.1	"0.94"	0.99	114.53	0.43
500	500	"0.3"	1	0.31	"0.89 ( 0 )"	"13.64 ( 2.08 )"	"0.2 ( 0.04 )"	19.44	"0.57"	0.89	13.64	0.2
1000	500	"0.3"	0.5	0.54	"0.88 ( 0 )"	"6.3 ( 1.15 )"	"0.09 ( 0.04 )"	12.21	"0.38"	0.88	6.3	0.09
50	1000	"0.3"	20	0.01	"1 ( 0 )"	"412.73 ( 7.91 )"	"0.88 ( 0.1 )"	417.85	"0.99"	1	412.73	0.88
