"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"
50	50	"0.1"	1	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	50	"0.1"	0.5	0.1	"1 ( 0 )"	"2.05 ( 0.14 )"	"4.71 ( 0.08 )"	3.31	"0.56"	1	2.05	4.71
500	50	"0.1"	0.1	0.5	"1 ( 0 )"	"1.4 ( 0.12 )"	"2.4 ( 0.08 )"	5	"0.25"	1	1.4	2.4
1000	50	"0.1"	0.05	0.69	"1 ( 0 )"	"0.98 ( 0.09 )"	"1.2 ( 0.08 )"	5.78	"0.15"	1	0.98	1.2
50	100	"0.1"	2	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	100	"0.1"	1	0.06	"1 ( 0 )"	"3.95 ( 0.21 )"	"4.66 ( 0.08 )"	5.29	"0.72"	1	3.95	4.66
500	100	"0.1"	0.2	0.35	"1 ( 0 )"	"3.91 ( 0.21 )"	"2.17 ( 0.08 )"	7.74	"0.48"	1	3.91	2.17
1000	100	"0.1"	0.1	0.51	"1 ( 0 )"	"2.97 ( 0.15 )"	"1.29 ( 0.07 )"	7.68	"0.36"	1	2.97	1.29
50	500	"0.1"	10	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	500	"0.1"	5	0.01	"1 ( 0 )"	"24.57 ( 0.55 )"	"4.72 ( 0.08 )"	25.85	"0.95"	1	24.57	4.72
500	500	"0.1"	1	0.09	"1 ( 0 )"	"23.57 ( 0.51 )"	"2.43 ( 0.1 )"	27.14	"0.86"	1	23.57	2.43
1000	500	"0.1"	0.5	0.14	"1 ( 0 )"	"22.61 ( 0.5 )"	"1.31 ( 0.08 )"	27.3	"0.82"	1	22.61	1.31
50	1000	"0.1"	20	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	1000	"0.1"	10	0.01	"1 ( 0 )"	"48.35 ( 0.66 )"	"4.88 ( 0.08 )"	49.47	"0.98"	1	48.35	4.88
500	1000	"0.1"	2	0.04	"1 ( 0 )"	"48.59 ( 0.73 )"	"2.71 ( 0.1 )"	51.88	"0.94"	1	48.59	2.71
