"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"	"method"
50	50	0	1	0.33	"0.74 ( 0.01 )"	"3.69 ( 0.25 )"	"2.5 ( 0.12 )"	6.19	0.37	0.74	3.69	2.5	"lasso"
100	50	0	0.5	0.35	"0.85 ( 0.01 )"	"7.16 ( 0.37 )"	"0.64 ( 0.08 )"	11.52	0.48	0.85	7.16	0.64	"lasso"
500	50	0	0.1	0.53	"0.93 ( 0 )"	"5.21 ( 0.21 )"	"0 ( 0 )"	10.21	0.39	0.93	5.21	0	"lasso"
1000	50	0	0.05	0.8	"0.93 ( 0 )"	"2.25 ( 0.11 )"	"0 ( 0 )"	7.25	0.15	0.93	2.25	0	"lasso"
50	100	0	2	0.25	"0.73 ( 0.01 )"	"5.13 ( 0.34 )"	"2.93 ( 0.1 )"	7.2	0.5	0.73	5.13	2.93	"lasso"
100	100	0	1	0.32	"0.83 ( 0.01 )"	"8.22 ( 0.44 )"	"1.03 ( 0.09 )"	12.19	0.54	0.83	8.22	1.03	"lasso"
500	100	0	0.2	0.4	"0.92 ( 0 )"	"8.89 ( 0.29 )"	"0 ( 0 )"	13.89	0.55	0.92	8.89	0	"lasso"
1000	100	0	0.1	0.69	"0.93 ( 0 )"	"3.53 ( 0.16 )"	"0 ( 0 )"	8.53	0.27	0.93	3.53	0	"lasso"
50	500	0	10	0.13	"0.7 ( 0.01 )"	"8.05 ( 0.28 )"	"3.74 ( 0.09 )"	9.31	0.74	0.7	8.05	3.74	"lasso"
100	500	0	5	0.24	"0.79 ( 0.01 )"	"11.14 ( 0.64 )"	"1.71 ( 0.1 )"	14.43	0.63	0.79	11.14	1.71	"lasso"
500	500	0	1	0.2	"0.92 ( 0 )"	"23.83 ( 0.69 )"	"0 ( 0 )"	28.83	0.78	0.92	23.83	0	"lasso"
1000	500	0	0.5	0.36	"0.93 ( 0 )"	"11.38 ( 0.41 )"	"0 ( 0 )"	16.38	0.6	0.93	11.38	0	"lasso"
50	1000	0	20	0.09	"0.67 ( 0.01 )"	"9.77 ( 0.24 )"	"4.03 ( 0.08 )"	10.74	0.81	0.67	9.77	4.03	"lasso"
100	1000	0	10	0.2	"0.78 ( 0.01 )"	"11.91 ( 0.8 )"	"2.32 ( 0.1 )"	14.59	0.66	0.78	11.91	2.32	"lasso"
500	1000	0	2	0.16	"0.91 ( 0 )"	"30.84 ( 0.92 )"	"0 ( 0 )"	35.84	0.82	0.91	30.84	0	"lasso"
1000	1000	0	1	0.24	"0.93 ( 0 )"	"19.96 ( 0.61 )"	"0 ( 0 )"	24.96	0.74	0.93	19.96	0	"lasso"
50	50	0	1	0.15	"0.76 ( 0.01 )"	"12.04 ( 0.89 )"	"1.42 ( 0.11 )"	15.62	0.61	0.76	12.04	1.42	"elnet"
100	50	0	0.5	0.23	"0.84 ( 0.01 )"	"11.44 ( 0.76 )"	"0.46 ( 0.07 )"	15.98	0.56	0.84	11.44	0.46	"elnet"
500	50	0	0.1	0.36	"0.92 ( 0 )"	"8.74 ( 0.72 )"	"0 ( 0 )"	13.74	0.45	0.92	8.74	0	"elnet"
