"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"	"method"
50	50	0.1	1	0.32	"0.78 ( 0.01 )"	"3.65 ( 0.23 )"	"2.83 ( 0.11 )"	5.82	0.39	0.78	3.65	2.83	"lasso"
100	50	0.1	0.5	0.34	"0.85 ( 0.01 )"	"7.35 ( 0.34 )"	"0.68 ( 0.09 )"	11.67	0.5	0.85	7.35	0.68	"lasso"
500	50	0.1	0.1	0.55	"0.92 ( 0 )"	"4.99 ( 0.22 )"	"0 ( 0 )"	9.99	0.37	0.92	4.99	0	"lasso"
1000	50	0.1	0.05	0.78	"0.93 ( 0 )"	"2.42 ( 0.12 )"	"0 ( 0 )"	7.42	0.17	0.93	2.42	0	"lasso"
50	100	0.1	2	0.26	"0.74 ( 0.01 )"	"4.65 ( 0.29 )"	"2.93 ( 0.12 )"	6.72	0.48	0.74	4.65	2.93	"lasso"
100	100	0.1	1	0.33	"0.85 ( 0.01 )"	"8.11 ( 0.41 )"	"0.86 ( 0.09 )"	12.25	0.52	0.85	8.11	0.86	"lasso"
500	100	0.1	0.2	0.4	"0.92 ( 0 )"	"8.63 ( 0.29 )"	"0 ( 0 )"	13.63	0.54	0.92	8.63	0	"lasso"
1000	100	0.1	0.1	0.64	"0.92 ( 0 )"	"4.02 ( 0.18 )"	"0 ( 0 )"	9.02	0.31	0.92	4.02	0	"lasso"
50	500	0.1	10	0.12	"0.71 ( 0.01 )"	"8.29 ( 0.25 )"	"3.89 ( 0.1 )"	9.4	0.77	0.71	8.29	3.89	"lasso"
100	500	0.1	5	0.24	"0.8 ( 0.01 )"	"8.84 ( 0.61 )"	"2.19 ( 0.12 )"	11.65	0.57	0.8	8.84	2.19	"lasso"
500	500	0.1	1	0.21	"0.92 ( 0 )"	"22.86 ( 0.75 )"	"0 ( 0 )"	27.86	0.77	0.92	22.86	0	"lasso"
1000	500	0.1	0.5	0.33	"0.93 ( 0 )"	"12.73 ( 0.35 )"	"0 ( 0 )"	17.73	0.65	0.93	12.73	0	"lasso"
50	1000	0.1	20	0.09	"0.68 ( 0.01 )"	"10.35 ( 0.33 )"	"4.14 ( 0.09 )"	11.21	0.82	0.68	10.35	4.14	"lasso"
100	1000	0.1	10	0.19	"0.77 ( 0.01 )"	"10.84 ( 0.75 )"	"2.46 ( 0.1 )"	13.38	0.63	0.77	10.84	2.46	"lasso"
500	1000	0.1	2	0.16	"0.92 ( 0 )"	"30.83 ( 1.05 )"	"0 ( 0 )"	35.83	0.81	0.92	30.83	0	"lasso"
1000	1000	0.1	1	0.23	"0.93 ( 0 )"	"20.39 ( 0.59 )"	"0 ( 0 )"	25.39	0.75	0.93	20.39	0	"lasso"
50	50	0.3	1	0.28	"0.75 ( 0.01 )"	"3.69 ( 0.22 )"	"3.04 ( 0.1 )"	5.65	0.4	0.75	3.69	3.04	"lasso"
100	50	0.3	0.5	0.32	"0.84 ( 0.01 )"	"7.11 ( 0.33 )"	"0.93 ( 0.1 )"	11.18	0.5	0.84	7.11	0.93	"lasso"
500	50	0.3	0.1	0.51	"0.92 ( 0 )"	"5.67 ( 0.22 )"	"0 ( 0 )"	10.67	0.41	0.92	5.67	0	"lasso"
1000	50	0.3	0.05	0.78	"0.92 ( 0 )"	"2.48 ( 0.13 )"	"0 ( 0 )"	7.48	0.18	0.92	2.48	0	"lasso"
50	100	0.3	2	0.26	"0.75 ( 0.01 )"	"4.41 ( 0.27 )"	"3.47 ( 0.09 )"	5.94	0.49	0.75	4.41	3.47	"lasso"
