"N"	"P"	"Corr"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"
50	50	"0.1"	1	0.05	"0.36 ( 0.01 )"	"3.52 ( 0.22 )"	"4.92 ( 0.08 )"	3.6	"0.65"	0.36	3.52	4.92
100	50	"0.1"	0.5	0.18	"0.31 ( 0.01 )"	"2.71 ( 0.25 )"	"4.4 ( 0.1 )"	3.31	"0.42"	0.31	2.71	4.4
500	50	"0.1"	0.1	0.35	"0.29 ( 0 )"	"5.42 ( 0.25 )"	"1.97 ( 0.11 )"	8.45	"0.48"	0.29	5.42	1.97
1000	50	"0.1"	0.05	0.44	"0.28 ( 0 )"	"4.91 ( 0.2 )"	"1.57 ( 0.09 )"	8.34	"0.44"	0.28	4.91	1.57
50	100	"0.1"	2	0.06	"0.37 ( 0.02 )"	"4.73 ( 0.22 )"	"4.79 ( 0.08 )"	4.94	"0.72"	0.37	4.73	4.79
100	100	"0.1"	1	0.13	"0.34 ( 0.01 )"	"3 ( 0.15 )"	"4.75 ( 0.09 )"	3.25	"0.57"	0.34	3	4.75
500	100	"0.1"	0.2	0.24	"0.3 ( 0 )"	"8.56 ( 0.5 )"	"2.13 ( 0.12 )"	11.43	"0.57"	0.3	8.56	2.13
1000	100	"0.1"	0.1	0.33	"0.29 ( 0 )"	"7.77 ( 0.33 )"	"1.44 ( 0.08 )"	11.33	"0.56"	0.29	7.77	1.44
50	500	"0.1"	10	0.01	"0.37 ( 0.02 )"	"10.58 ( 0.31 )"	"5.25 ( 0.07 )"	10.33	"0.92"	0.37	10.5	5.25
100	500	"0.1"	5	0.05	"0.35 ( 0.01 )"	"6.23 ( 0.26 )"	"4.94 ( 0.08 )"	6.29	"0.82"	0.35	6.23	4.94
500	500	"0.1"	1	0.33	"0.32 ( 0.01 )"	"3.77 ( 0.75 )"	"3.69 ( 0.08 )"	5.08	"0.27"	0.32	3.77	3.69
