"N"	"P"	"Corr"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"
50	50	"0.1"	1	0.56	"0.88 ( 0.05 )"	"3.68 ( 0.29 )"	"0.06 ( 0.03 )"	9.62	"0.33"	0.88	3.68	0.06
100	50	"0.1"	0.5	0.77	"0.87 ( 0.05 )"	"1.51 ( 0.35 )"	"0 ( 0 )"	7.51	"0.12"	0.87	1.51	0
500	50	"0.1"	0.1	0.88	"0.99 ( 0.05 )"	"0.73 ( 0.19 )"	"0 ( 0 )"	6.73	"0.07"	0.99	0.73	0
1000	50	"0.1"	0.05	0.9	"1.09 ( 0.04 )"	"0.55 ( 0.17 )"	"0 ( 0 )"	6.55	"0.05"	1.09	0.55	0
50	100	"0.1"	2	0.53	"1.12 ( 0.1 )"	"4.24 ( 0.3 )"	"0.23 ( 0.06 )"	10.01	"0.37"	1.12	4.24	0.23
100	100	"0.1"	1	0.79	"0.85 ( 0.04 )"	"1.51 ( 0.34 )"	"0 ( 0 )"	7.51	"0.13"	0.85	1.51	0
500	100	"0.1"	0.2	0.95	"1.13 ( 0.04 )"	"0.29 ( 0.09 )"	"0 ( 0 )"	6.29	"0.03"	1.13	0.29	0
1000	100	"0.1"	0.1	0.93	"1.03 ( 0.04 )"	"0.42 ( 0.12 )"	"0 ( 0 )"	6.42	"0.05"	1.03	0.42	0
50	500	"0.1"	10	0.36	"2.54 ( 0.18 )"	"5.13 ( 0.35 )"	"1.78 ( 0.12 )"	9.35	"0.48"	2.54	5.13	1.78
100	500	"0.1"	5	0.71	"0.98 ( 0.04 )"	"2.4 ( 0.35 )"	"0 ( 0 )"	8.4	"0.21"	0.98	2.4	0
500	500	"0.1"	1	0.96	"1.1 ( 0.04 )"	"0.25 ( 0.08 )"	"0 ( 0 )"	6.25	"0.03"	1.1	0.25	0
1000	500	"0.1"	0.5	0.96	"1.18 ( 0.04 )"	"0.24 ( 0.08 )"	"0 ( 0 )"	6.24	"0.03"	1.18	0.24	0
50	1000	"0.1"	20	0.29	"3.37 ( 0.2 )"	"4.59 ( 0.36 )"	"2.63 ( 0.15 )"	7.96	"0.5"	3.37	4.59	2.63
100	1000	"0.1"	10	0.61	"1.03 ( 0.04 )"	"3.82 ( 0.46 )"	"0.01 ( 0.01 )"	9.81	"0.29"	1.03	3.82	0.01
500	1000	"0.1"	2	0.96	"1.1 ( 0.03 )"	"0.24 ( 0.1 )"	"0 ( 0 )"	6.24	"0.03"	1.1	0.24	0
1000	1000	"0.1"	1	0.97	"1.16 ( 0.03 )"	"0.16 ( 0.06 )"	"0 ( 0 )"	6.16	"0.02"	1.16	0.16	0
50	50	"0.3"	1	0.5	"0.76 ( 0.05 )"	"4.6 ( 0.27 )"	"0.07 ( 0.03 )"	10.53	"0.4"	0.76	4.6	0.07
100	50	"0.3"	0.5	0.75	"0.7 ( 0.04 )"	"1.65 ( 0.28 )"	"0 ( 0 )"	7.65	"0.16"	0.7	1.65	0
500	50	"0.3"	0.1	0.93	"0.92 ( 0.04 )"	"0.39 ( 0.12 )"	"0 ( 0 )"	6.39	"0.04"	0.92	0.39	0
1000	50	"0.3"	0.05	0.93	"0.92 ( 0.03 )"	"0.38 ( 0.1 )"	"0 ( 0 )"	6.38	"0.04"	0.92	0.38	0
50	100	"0.3"	2	0.43	"1.12 ( 0.07 )"	"5.19 ( 0.3 )"	"0.63 ( 0.09 )"	10.56	"0.44"	1.12	5.19	0.63
100	100	"0.3"	1	0.7	"0.73 ( 0.04 )"	"2.38 ( 0.32 )"	"0 ( 0 )"	8.38	"0.22"	0.73	2.38	0
500	100	"0.3"	0.2	0.87	"0.82 ( 0.04 )"	"0.84 ( 0.2 )"	"0 ( 0 )"	6.84	"0.08"	0.82	0.84	0
